Subject_ID,Paperclip,Shoe,Brick,Pen,Spoon
s.03ec11b9-d13e-4fa7-acad-7b65e814a759,"להפריד בין ניירות ואו לאחד אותם, לציין תקייה חשובה מהשאר","ללבוש להליכה,כלי עזר לספורט,כלי עזר לעבודה","לאכול,לעשות עוגת גבינה","לכתוב,לסמן,להדגיש,למדוד,כלי עזר לעבודה","כלי עזר לאכול,לערבב"
s.09ce2283-fce1-496b-9c63-77f6c8024482,"לב, נשק,לדקור","מכות, סחר בסמים","לדפוק למישהו בראש, לבנות בית, לבנות גדר","לדקור פיום קנה, קעקוע זמני","נעמי כפית, לדחוף לתחת"
s.0b8244c8-d152-47e5-b75b-2c0526841917,"להדק נייר, לדפוק מסמר קטן לתוך משהוא, להשתמש בתור פה של בובה","להשתמש בתור טלפון צעצוע, לנעול, להשתמש בתור אגרטל","לבנות קיר, לשים בתור סימון לשטח, לבנות רמפה לקפיצה עם אופניים","לכתוב, להשתמש בתור משחק בין האצבעות, להשתמש בתור סימניה","לאכול, להשתמש בתור כלי לטיפוף, להשתמש בתור מראה"
s.12b67d7c-1991-4368-a414-212d0daf058d,"נשק, רובה","כוס שתייה, נשק","נשק, משחק",מכשיר רפואי,"נשק, משגר"
s.15e385bc-c05e-4bdd-a6c6-4f490e62d46c,"לדפוק מסמר, לתלות דברים על לוח שעמ","להרוג ג'וקים, לקשט כבלים של חשמל, תצוגה, להשתמש בשרוכים למלא דברים","לעשות שער כדורגל, להתאמן על קונגפו, לדפוק לבנה אחרת לרצפה","לדקור מישהו בצורה לא מבסוכנת, לזרוק לכלב, לשחק בפה","להוציא דברים מתחת לארון, קישוט"
s.1955e45c-2d6b-42b7-9bbe-be736a37f316,"נשק, מעמד לפלאפון","מסרק לשיער, לגרד ברגל",נשק,"נשק, לפתוח קנה נשימה",משגר
s.1ce40d24-dbaa-4c94-af14-98c3144cfca1,"לפתוח את המקום לסים בםלאפון, לחבר דפים, למשחק, לעשות שרשרת","לסמן טריטוריה, צעצוע לכלב, לנעול","לבנות , לסמן טרטויריה, להחזיק משהו שלא יעוף","לכתוב, לצייר","לאכול, למדידה באפייה"
s.37dff421-d8a1-49ca-bdc3-f80dbfe690d9,"שרשראות, טבעות, כלי הדגמה למתמטיקה, מחורר","קישוט לחדר,מעמד לעטים, מקום להחביא כסף","חותמת לצבע, מעצור לדל, הגבהה","סרגל, קש, משהו ללחוץ איתו על דברים, להעיף גוקים","למרוח אוכל, לצבוע, לצייר, למעוך פירה"
s.64b58ac3-46ca-45d6-ab81-fae1e500fa53,"נשק, תחבושת, כלי אוכל","כוס שתייה, נשק, מסרק","נשק, צלחת, פטיש","נשק, קש",נשק
s.7dab8b17-240a-4f9b-9a78-8e98f96b35bf,"אטב, סיכה, נעץ, דבק, פתקית, קלסר","כפכף, קרוקס, סנדל, טבע נאות, גרב","אבן, סלע, רעף, פטיש","עיפרון, מרקר, טוש, גיר, גואש","מזלג, כף, סכין, טרבד, קלשון"
s.82a673d5-68c0-4e90-b85f-9f6b509ac46a,"ספירוש,""ספי"",""ספירי "",סיפורי""","משהוא ששמים על הרגל ,""כפכפים","מורכבת מאבן ,""הבסיס שבעזרתו בונים בית "", ""מה שבעמצעותו ניתן לבנות בניין""","כלי כתיבה ,""יוצא דיו ממנו"" , ""כלי כתיבה שקשה למחוק את מה שכותבים""","באמצעותו ניתן לשים סוכר בכמות הנכונה,""חלק מהסכום יכול  להחיל כמות קטנה"",כלי אכילה קטן"""
s.85ece031-da05-4ca8-aa9f-2397701317b8,להוציא סיכות,מעצור לדלת,לבנות דברים,לעשות קוקו,נשק
s.88d1ad0a-0626-40b0-aaa1-22af15850f46,"להדק ניירות, לרפד, לתלות על לוחות, להכין שרשרת סיכות, לנקב דברים","לנעול, לשתול עציץ, להחזיק דלת","לרצף מדרכות, חיפוי בתים, תחתית לסיר חם, בסיס למדפים","כתיבה, לאסוף את השיער, להוציא דברים שנתקעו במקשים במחשב","לאכול, לחפור באדמה בשביל לשתול, לשחק את המשחק ששמים ביצה בפה עם כפית ומי שהביצה לא נשברת לו מנצח"
s.8d672fa0-46b3-4233-97a2-d8f30820dd11,סיכה,ללבוש ,לבנות,גיר,לאכול
s.9393ee6a-ec32-46f5-a827-3c73fbb7d8ba,"להדק ניירות,להקפיץ כדורים קטנים","לנעול אותה,לתלות על חבל,להציג במוזיאון","לרצף,לבנות בית,להגבהה","לכתוב,ליצור אוסף,לשים בחולצה","לאכול איתה,להשתמש בה כרוגטקה,לחפור"
s.95e3f053-5875-492a-b9e1-45b0a3867f74,"כלי נשק, כלי להפעלת משקל על משהו (כדי שלא יעוף), הידוק נייר, תליית חפצים על קירות","צביעה כסמל אומנותי, הפעלת משקל על משהו (כדי שלא יעוף), שימוש בה כדי לעשות משהו דמוי צעדים, יצירת רעש חזק, משיכה דברים לכיווננו, סמל סטטוס","שימוש בה כסמל לאומנות, כלי נשק, לשים מאחוריה משהו כמו במבוא, ניפוץ זכוכית , עיצוב פנים-ביתי, להחזיק משהו כדי שלא יעוף ברוח","משהו חד שיכול לעזור להתעסק בו (במקומות קטנים), משהו שכיף סתם לשחק בו כהסחת דעת (להפעיל שוב ושוב ושוב), שימוש בו ככלי יצירתי, סימניה, צביעה","תיבול, אומדן כמות, כלי יצירה, כלי ליצירת מוזיקה, כלי שאפשר להוציא איתו דברים מגעילים, כלי נשק, כלי לכיסוי עין"
s.cb54c30c-b570-4a21-9ed3-cfee3be7aeb5,"לפרוץ מנעול, לסדר ציפורניים, לפתוח כרטיס סים בפלאפון, ליצור טבעת, ליצור שרשרת, לחזק קרע בבגד, סימנייה בספר, לסתום חור בקיר","להחזיק דלת פתוחה, עציץ, ליצור מסלול מכשולים, לגזור את הרצועות וליצור תיק צד, לאחסן מוצרים קטנים, ליצור קיר אומנותי ","לגלף לפסל, להתמש כמעצור, לשקול בעזרתו ירקות, להקיף מדורה, להכין מדף לספרים, להכין שולחן קפה, להניח עליו סירים חמים, להשתמש כשפרף","לאסוף את השיער, להפריד בין הציפורניים כשעושים פדיקור, לשחק שלוש מקלות, לעשות ציור ענק שמורכב ממלא עטים מוצמדים אחד לשני, סימנייה לספר, להוציא את הדיו ולהשתמש בו כגואש, ליצור חור בשקית, לפוצץ בלון, לגזור סלוטייפ, לייצב עציץ","לבדוק חום באמבטיה, לפתוח דברים, לנקות סדקים ופנלים, לחפור באדמה, ליצור פסל בצורה של פרחים, לקשור לענף כדי ליישר אותו, להמיש וליצור מטבעות"
s.cc8256e7-4fbb-47f7-a4ad-aaaae077a76b,"אטב, סיכה, קליפס","כובע, שקית, ארגז","ספר, סלע, עץ","עיפרון, טוש, מרקר","מזלג, סכין, קש"
